Topic/Theme,Key Points,Supporting Evidence,Entities,Timeline/Context,Impact/Reasoning
"Economic Reform (Operation Vulindlela)","Accelerating economic reform, opening investment and competition; transforming electricity, water, and logistics sectors.","Through Operation Vulindlela, we have made significant progress in accelerating economic reform and opening the way for investment and competition., we are working to transform the structure of our economy, to fix our infrastructure and make our electricity, water and logistics sectors more competitive and efficient.","Operation Vulindlela","Ongoing","Foster economic growth and recovery; improve efficiency in key sectors."
"Infrastructure Investment","R1 trillion in public investment over three years; largest allocation in history.","Government has committed more than R1 trillion in public investment over three years to build and maintain infrastructure.","Infrastructure Fund","Next 3 years","Transformative drive for jobs, productivity, and growth."
"Infrastructure Funding & PPPs","Innovative funding models including the first-ever infrastructure bond and new PPP regulations.","Through the Infrastructure Fund and new regulations for public-private partnerships... We launched our first-ever infrastructure bond...","Infrastructure Fund","Ongoing","Attract investors and fast-track projects in energy, water, transport, and digital."
"Commercial Courts","Establish specialized courts for commercial matters with dedicated judges.","we will establish specialised courts for commercial matters with dedicated judges and dedicated court rolls to ensure faster outcomes.","Judiciary","This year","Prevent delays in critical infrastructure and economic projects."
"State Property Management","Establish a professional State Property Company to manage state-owned buildings and land.","This year, we will begin work to establish a professional State Property Company to transform the 88 000 buildings and five million hectares of land.","State Property Company","This year","Turn state assets into engines of growth and development."
"Energy Transformation & Renewables","40% of energy from renewables by 2030; restructuring Eskom; establishing independent transmission entity.","By 2030, more than 40% of our energy supply will come from cheap, clean and renewable energy sources., restructuring Eskom and establishing a fully independent state-owned transmission entity.","Eskom, NECC","By 2030 / Report in 3 months","Ensure long-term energy security and drive down costs."
"Grid Expansion & Load Reduction","Commencing independent transmission projects; eradicating load reduction by next year.","commence the first round of independent transmission projects..., objective of eradicating load reduction by next year.","Government of South Africa","Next year","Modernise energy system and stabilize local supply."
"Logistics (Rail & Ports)","Private rail access; major PPPs in port terminals; high-speed rail (Joburg-Musina, Durban-Joburg).","enabled private rail operators to access our network..., initiate major public-private partnerships in our port terminals and rail corridors..., Request For Proposals... for high-speed rail.","Durban Pier 2 Container Terminal","Later this year / Dec 2025 (Durban)","Return ports to world-class standards and move volumes from road to rail."
"Agriculture Support","10,000 new Extension Officers; R7.8 billion for black producers via Blended Finance Scheme.","We will deploy 10 000 new Extension Officers..., provided R7.8 billion in innovative funding to black producers.","Land Bank","Not specified","Improve productivity and create opportunities for youth."
"Foot-and-Mouth Disease (FMD) Response","National vaccination of 14 million cattle (28m vaccines); FMD classified as a National Disaster.","We have decided to vaccinate the national herd of 14 million cattle., classified foot-and-mouth disease as a national disaster.","Department of Agriculture","Next 12 months","Mitigate devastation of herds and restore exports."
"Digital Infrastructure","R50 billion investment in data centres over three years.","more than R50 billion of investment expected over the next three years.","Private sector investors","Next 3 years","Support growth of the digital technology sector."
"Tourism & Digital Visas","Electronic Travel Authorisation (ETA) for all visa-required countries; 24-hour processing.","extend the Electronic Travel Authorisation System to all countries that require a visa... processed digitally within 24 hours.","Department of Home Affairs","Coming year","Promote international arrivals and support job creation."
"Green Economy & EVs","150% tax deduction for New Energy Vehicles (NEVs); battery production support.","From March this year, we will introduce a 150% tax deduction for investment in new energy vehicles...","Just Energy Transition Investment Plan","March this year","Pivot economy to lead in global green products."
"Mining & Critical Minerals","Funding for geological mapping and exploration; local beneficiation of critical minerals.","dedicating funds towards geological mapping and exploration..., G20 countries supported our proposal to expand local beneficiation.","IDC, Frontier Rare Earths Project","Ongoing","Harness mineral reserves (iron ore valued at R40 trillion) as a sunrise industry."
"Anti-Corruption & Institutional Rebuilding","Strengthening anti-corruption laws, rebuilding SARS and Investigating Directorate.","We are strengthening our anti-corruption laws., The work we have done to rebuild key institutions from state capture is showing results.","SARS, Investigating Directorate Against Corruption, FATF","Ongoing","Ensuring ethical governance and rule of law."
"Organised Crime (General Focus)","Stepping up the fight using technology, intelligence, and integrated law enforcement.","Our primary focus this year is stepping up the fight against organised crime and criminal syndicates using technology, intelligence and integrated law enforcement.","Government of National Unity","This year","Addressing the immediate threat to democracy and economy."
"Organised Crime (Gang Violence & Illegal Mining)","Deploying SANDF to support police in Western Cape and Gauteng; tactical plan within days.","I am deploying the South African National Defence Force (SANDF) to support the police..., I have directed the Minister of Police and the SANDF to develop a tactical plan where our security forces should be deployed within the next few days in the Western Cape and Gauteng...","SANDF, Minister of Police, SAPS, Western Cape, Gauteng","Next few days","Dismantle criminal networks and stop gang violence."
"Gun Crime Control","Streamlining firearm legislation and increasing enforcement of gun laws.","We are going to tackle gun crime by streamlining legislation and regulations on licencing, possessing and trading in firearms and ammunition.","Government of South Africa","This year","Reduce violent crime and illegal firearm use."
"Police Capacity Building","Recruitment of 5,500 additional police officers this year.","We are putting more boots on the ground through the recruitment this year of 5 500 additional police officers...","SAPS","This year","Strengthening law enforcement visibility and response."
"Illicit Economy Disruption","Establishing a National Illicit Economy Disruption Programme targeting high-risk sectors (tobacco, fuel, alcohol).","We are establishing a National Illicit Economy Disruption Programme... will target high-risk sectors like tobacco, fuel, alcohol and other counterfeit products.","State agencies, private sector","This year","Protecting jobs and industry from counterfeit goods."
"Police & Criminal Justice Reform","Vetting senior SAPS management, lifestyle audits, and a new criminal justice reform initiative in The Presidency.","State Security Agency will re-vet the Senior Management of the SAPS... we will use a similar approach [to Operation Vulindlela] to establish a hard-hitting new criminal justice reform initiative.","SAPS, State Security Agency, The Presidency, Madlanga Commission","Not specified","Ensure an ethical, responsive police service and reform the criminal justice system."
"Whistle-blower Protection","Introducing the Whistle-Blower Protection Bill to criminalize retaliation and provide support.","The Whistle-Blower Protection Bill will be introduced in Parliament. Among other things, this will criminalise retaliation and provide psychosocial, legal and financial support.","Parliament","Not specified","Protect those who speak out against corruption."
"Procurement Reform","Restructuring procurement to end corruption using technology and new regulations.","Measures will include the use of technology and the finalisation of new Public Procurement Act regulations by mid-2026.","AGSA","mid-2026","Eliminate corruption at its source in the procurement system."
"Water Security & Crisis Management","Elevating water response to a National Water Crisis Committee chaired by the President; R156 billion committed to infrastructure.","we will now elevate our response to the water crisis to a National Water Crisis Committee, which I will chair., We have committed more than R156 billion... over the next three years.","President, National Water Resource Infrastructure Agency","Immediate / Next 3 years","Address systemic failures and ensure long-term water security."
"Water Accountability","Introducing the Water Services Amendment Bill to hold providers accountable; criminal charges against failing officials.","The Water Services Amendment Bill will enable us to hold water service providers accountable..., move to lay charges against Municipal Managers in their personal capacity.","Municipal Managers","Immediate","Holding officials responsible for service delivery failures."
"Local Government Reform","Finalising a revised White Paper on Local Government with a differentiated approach to powers; independent official appointments; targeted support for eThekwini/Joburg.","in the coming months finalise a revised White Paper on Local Government., senior officials... appointed through an independent process free from political interference., Targeted support... through the Presidential Working Groups on eThekwini and Johannesburg.","Traditional and Khoi-San leadership institutions, Presidential Working Groups","Coming months","Re-imagining local government for better service delivery."
"Economic Growth Strategy (MTDP)","Implementing a comprehensive plan focused on digital/green economy and public infrastructure.","Cabinet has approved a comprehensive implementation plan to drive growth and inclusion.","Cabinet","Not specified","Revive growth and create quality jobs."
"Job Creation (Employment Stimulus)","Created over 2.5 million opportunities, mainly for young people and women.","We have created over 2.5 million opportunities through the Presidential Employment Stimulus, mainly for young people and women.","Presidential Employment Stimulus, EPWP, CWP","Past/Ongoing","Reducing unemployment and poverty."
"Social Protection (SRD Grant)","Expanded social protection to reduce food poverty.","By expanding our social protection system through the Social Relief of Distress (SRD) Grant, we have reduced the number of people living in food poverty.","SRD Grant","Ongoing","Mitigate hunger and poverty."
